Column1,sslccode,talukcode,schoolname,address1,address2,address3,address4,pincode,management,urban,taluk,dist
7732,NN0008,NN01,SWADHYAY VIDYAMANDIR HIGH SCHOOL,TILAKWADI  BELAGAVI,BELAGAVI DISTRICT,,,590006,A,U,BELGAUM,BELGAUM
7733,NN0009,NN01,ISLAMIYA COMP JUNIOR COLLEGE,BELAGAVI,BELAGAVI DISTRICT,,,590001,A,U,BELGAUM,BELGAUM
7734,NN0010,NN01,B K MODEL HIGH SCHOOL,BELAGAVI,BELAGAVI DISTRICT,,,590001,A,U,BELGAUM,BELGAUM
7735,NN0011,NN03,VIDYA MANDIR HIGH SCHOOL,NESARGI  BAILHONGAL TALUK,BELAGAVI DISTRICT,,,591121,A,R,BAILHONGAL,BELGAUM
7736,NN0012,NN05,SRI S F S COMP JUNIOR COLLEGE,SUREBAN  RAMDURGA TALUK,BELAGAVI DISTRICT,,,591127,A,R,RAMDURG,BELGAUM
7737,NN0013,NN01,THALAKAWADI HIGH SCHOOL,THILAKWADI,BELAGAVI DISTRICT,,,590006,A,U,BELGAUM,BELGAUM
7738,NN0014,NN07,S G COMPOSITE JUNIOR COLLEGE,KITTUR  BAILHONGAL TALUK,BELAGAVI DISTRICT,,,NA,A,R,BAILHONGAL,BELGAUM
7739,NN0016,NN01,BEYNON SMITH COMP JUNIOR COLLEGE,BELAGAVI,BELAGAVI DISTRICT,,,590002,A,U,BELGAUM,BELGAUM
7740,NN0017,NN01,ST PAUL'S HIGH SCHOOL,CAMP: BELAGAVI,BELAGAVI DISTRICT,,,590001,A,U,BELGAUM,BELGAUM
7741,NN0019,NN05,SRI BVV SANGHA'S STATE COMP JR COLLEGE,RAMDURG,BELAGAVI DISTRICT,,,591123,A,U,RAMDURG,BELGAUM
7742,NN0020,NN01,GOVT CHINTAMANRAO JR COLLEGE,SHAHAPUR,BELAGAVI DISTRICT,,,590003,G,U,BELGAUM,BELGAUM
7743,NN0021,NN05,K V V SANGHA'S S G K HIGH SCHOOL,KATKAL  RAMDURG TALUK,BELAGAVI DISTRICT,,,591114,A,R,RAMDURG,BELGAUM
7744,NN0022,NN02,SRI SHIVAJI VIDYALAYA,YELLUR,BELAGAVI DISTRICT,,,591146,A,R,BELGAUM,BELGAUM
7745,NN0023,NN04,SARVODAYA VIDYALAYA ENG MED SCHOOL,KHANAPUR,BELAGAVI DISTRICT,,,591302,A,U,KHANAPUR,BELGAUM
7746,NN0024,NN01,ST. JOSEPH'S CONVENT HIGH SCHOOL,CAMP: BELAGAVI,BELAGAVI DISTRICT,,,590001,A,U,BELGAUM,BELGAUM
7747,NN0025,NN01,VANITHA VIDYALAYA HIGHER SEC. SCHOOL,BELAGAVI,BELAGAVI DISTRICT,,,590001,A,U,BELGAUM,BELGAUM
7748,NN0026,NN01,BALIKA ADARSHA VIDYALAYA,THILAKWADI,BELAGAVI DISTRICT,,,NA,A,U,BELGAUM,BELGAUM
7749,NN0027,NN01,GOVT SARASWATHI GIRLS PUC COLLEGE,SHAHAPUR,BELAGAVI DISTRICT,,,590003,G,U,BELGAUM,BELGAUM
7750,NN0029,NN01,ADARSHA VIDYA MANDIR COMP JUNIOR COLLEGE,M VADAGAON,BELAGAVI DISTRICT,,,NA,A,U,BELGAUM,BELGAUM
7751,NN0030,NN07,NEGINHAL COMPOSITE PU COLLEGE,NEGINHAL  BAILHONGAL TALUK,BELAGAVI DISTRICT,,,591190,A,R,BAILHONGAL,BELGAUM
7752,NN0031,NN02,JANATHA COMP JUNIOR COLLEGE,SAMBRE,BELAGAVI DISTRICT,,,NA,A,R,BELGAUM,BELGAUM
7753,NN0032,NN06,SRI BASAVESWARA HIGH SCHOOL,YARGATTI  SAUNDATTI TALUK,BELAGAVI DISTRICT,,,591129,A,R,SOUNDATTI,BELGAUM
7754,NN0033,NN03,R E S HIGH SCHOOL,SAMPAGAON  BAILHONGAL TALUK,BELAGAVI DISTRICT,,,591125,A,R,BAILHONGAL,BELGAUM
7755,NN0034,NN01,BASHIBAN HIGH SCHOOL,BHENDI BAZAAR,BELAGAVI DISTRICT,,,590002,A,U,BELGAUM,BELGAUM
7756,NN0035,NN05,S R COMPOSITE JR COLLEGE,HOSKOTI  RAMDURGA TALUK,BELAGAVI DISTRICT,,,591187,A,R,RAMDURG,BELGAUM
7757,NN0036,NN07,SMT S B M GIRLS H S,KITTUR  BAILHONGAL TALUK,BELAGAVI DISTRICT,,,591115,A,R,BAILHONGAL,BELGAUM
7758,NN0037,NN02,HINDALGA HIGH SCHOOL,HINDALGA,BELAGAVI DISTRICT,,,NA,A,R,BELGAUM,BELGAUM
7759,NN0038,NN02,SSVSS SRI SHIVAJI HIGH SCHOOL,KODELI,BELAGAVI DISTRICT,,,NA,A,R,BELGAUM,BELGAUM
7760,NN0039,NN07,SRI KALMESHWAR COMP P U COLLEGE,M K HUBBALLI  BAILHONGAL TALUK,BELAGAVI DISTRICT,,,NA,A,R,BAILHONGAL,BELGAUM
7761,NN0040,NN02,KARNATAKA HIGH SCHOOL,HIREBAGEWADI,BELAGAVI DISTRICT,,,591109,A,R,BELGAUM,BELGAUM
7762,NN0041,NN06,S M S S HIGH SCHOOL,MURGOD  SAUNDATTI TALUK,BELAGAVI DISTRICT,,,591119,A,R,SOUNDATTI,BELGAUM
7763,RA0120,RA01,APSANI TELUGU  HIGH SCHOOL,SRIRAMANAGAR GANGAVATHI TALUK,KOPPAL DISTRICT,,,584119,U,R,GANGAVATHI,KOPPAL
7764,RA0121,RA01,GADDADAKI LINGANNA GOVT HIGH SCHOOL,KESARAHATTI.,GANGAVATHI.TQ.,KOPPAL.DT.,,NA,G,R,GANGAVATHI,KOPPAL
7765,RA0122,RA02,VIDHYA VIKAS HIGH SCHOOL,BHAGYANAGAR KOPPAL,KOPPAL DISTRICT,,,NA,A,R,KOPPAL,KOPPAL
7766,TT0064,TT05,S B HIGH SCHOOL,"BANAVIKAL, KUDLIGI TALUK",BALLARI DISTRICT,,,583126,A,R,KUDLIGI,BELLARY
7767,TT0065,TT03,SMIORE VYASAPURI HIGH SCHOOL,"M&FA PLANT VYASANAKERE, HOSAPETE TQ",BALLARI DISTRICT,,,583222,A,R,HOSPET,BELLARY
7768,CA0165,CA02,SREE GAJANA VIDYA SAMSTHE,AJJAVARAGATE NAYANAHALLI,CHIKKABALLAPUR TQ,CHIKKABALLAPURA DISTRICT,,NA,U,R,CHIKKABALLAPUR,CHIKKABALLAPURA
7769,NA0091,NA08,B N KULIGOD HIGH SCHOOL,MUGALKHOD  RAIBAGH TALUK,BELAGAVI DISTRICT,,,591235,A,R,RAIBAG,BELGAUM CHIKKODI
7770,NA0092,NA02,MODERN ENGLISH SCHOOL,NIPANI CHIKOD TALUK,BELAGAVI DISTRICT,,,591237,U,U,CHIKODI,BELGAUM CHIKKODI
7771,NA0093,NA04,THE VOLKART ACADEMY,GOKAK FALLS,BELAGAVI DISTRICT,,,591308,A,R,GOKAK,BELGAUM CHIKKODI
7772,NA0095,NA01,GOVERNMENT HIGH SCHOOL,ADAHALLI  ATHANI TALUK,BELAGAVI DISTRICT,,,591266,G,R,ATHANI,BELGAUM CHIKKODI
7773,NA0096,NA05,GOVERNMENT HIGH SCHOOL,BASAPUR  HUKKERI TALUK,BELAGAVI DISTRICT,,,591122,G,R,HUKKERI,BELGAUM CHIKKODI
7774,NA0097,NA05,SDVS SANGHAS SS (KH.) PATIL ENG MED HS,SANKESHWAR HUKKERI TALUK,BELAGAVI DISTRICT,,,591313,U,U,HUKKERI,BELGAUM CHIKKODI
7775,MM0210,MM06,GOVERNMENT HIGH SCHOOL INGALAGI,KUNDAGOL TQ,DARWAR DISTRICT,,,580023,G,R,KUNDAGOL,DHARWAD
7776,MM0211,MM05,DR AMBEDKAR EDUCATIONAL INSTITUTIONS H S,MISHRA KOTI KALAGHATAGI TQ,DHARWAR DIST,,,NA,A,R,KALGHATAGI,DHARWAD
7777,MM0212,MM07,SRI JAGADGURU AJATHA NAGALINGA,MAHASWAMY VIDYAPEETA HIGH SCHOOL,NAVALAGUNDA DARWAR DIST,,,NA,A,U,NAVALGUND,DHARWAD
7778,MM0213,MM05,SHREE KALMESHWAR HIGH SCHOOL,"TAVARGERI,  KALAGHATAGI",DHARWAR DISTRICT,,,NA,A,R,KALGHATAGI,DHARWAD
7779,MM0214,MM01,NATIONAL SPORTS RESIDENTIAL HIGH SCHOOL,"GURUNATHANAGARA OLD HUBBALLI,",DHARWAR HUBBALLI URBAN TQ,DHARWAR DIST.,,NA,A,U,HUBLI,DHARWAD
7780,MM0215,MM04,SRI GURU GORAKSHANATH HIGH SCHOOL,"GOKUL , HUBBALLI",DHARWAR DISTRICT,,,NA,A,R,HUBLI CITY,DHARWAD
7781,MM0217,MM01,VIGNESHWARA HIGH SCHOOL,"VIDYANAGAR , HUBBALLI",DHARWAR HUBBALLI URBAN TQ,DHARWAR DIST.,,NA,U,U,HUBLI,DHARWAD
7782,MM0900,MM01,G J TECHNICAL SCHOOL,VIDYANAGAR  HUBBALLI,DHARWAR DISTRICT,,,580021,G,U,HUBLI,DHARWAD
7783,NA0001,NA04,GOVERNMENT PRE-UNIVERSITY COLLEGE,GOKAK,BELAGAVI DISTRICT,,,591307,G,U,GOKAK,BELGAUM CHIKKODI
7784,NA0002,NA02,MUNICIPAL HIGH SCHOOL,NIPANI  CHIKKODI TALUK,BELAGAVI DISTRICT,,,591237,A,U,CHIKODI,BELGAUM CHIKKODI
7785,NA0003,NA06,K R E S COMP JUNIOR COLLEGE,AINAPUR  ATHANI TALUK,BELAGAVI DISTRICT,,,591303,A,R,ATHANI,BELGAUM CHIKKODI
7786,NA0005,NA02,VIDYA MANDIR HIGH SCHOOL,NIPPANI  CHIKKODI TALUK,BELAGAVI DISTRICT,,,591237,A,U,CHIKODI,BELGAUM CHIKKODI
7787,NA0006,NA03,R D COMPOSITE JUNIOR COLLEGE,CHIKKODI,BELAGAVI DISTRICT,,,591201,A,U,CHIKODI,BELGAUM CHIKKODI
7788,NA0007,NA07,A D HIGH SCHOOL,KAUJALGI  GOKAK TALUK,BELAGAVI DISTRICT,,,591227,A,R,GOKAK,BELGAUM CHIKKODI
7789,NA0008,NA02,SIDDESHWAR VIDYALAYA,KURLI  CHIKKODI TALUK,BELAGAVI DISTRICT,,,591241,A,R,CHIKODI,BELGAUM CHIKKODI
7790,NA0009,NA05,C.E.S. HIGH SCHOOL,YAMAKANMARDI  HUKKERI TALUK,BELAGAVI DISTRICT,,,591245,A,R,HUKKERI,BELGAUM CHIKKODI
7791,NA0010,NA06,SHRI HARI VIDYALAYA,UGARKHURD  ATHANI TALUK,BELAGAVI DISTRICT,,,591316,A,R,ATHANI,BELGAUM CHIKKODI
7792,NA0011,NA01,J A HIGHER SECONDARY SCHOOL,ATHANI,BELAGAVI DISTRICT,,,591304,A,U,ATHANI,BELGAUM CHIKKODI
7793,NA0012,NA08,RAIBAG VIDYALAYA COMP JR COLLEGE,RAIBAG,BELAGAVI DISTRICT,,,591317,A,R,RAIBAG,BELGAUM CHIKKODI
7794,NA0013,NA02,AKOL HIGH SCHOOL,AKOL  CHIKKODI TALUK,BELAGAVI DISTRICT,,,591211,A,R,CHIKODI,BELGAUM CHIKKODI
7795,NA0014,NA05,S D HIGH SCHOOL,SANKESHWAR  HUKKERI TALUK,BELAGAVI DISTRICT,,,591313,A,U,HUKKERI,BELGAUM CHIKKODI
7796,NA0015,NA06,SANMATHI VIDYALAYA HIGH SCHOOL,SHEDBAL  ATHANI TALUK,BELAGAVI DISTRICT,,,591315,A,R,ATHANI,BELGAUM CHIKKODI
7797,NA0017,NA03,SMT SHARADADEVI KORE COMP JR COLLEGE,ANKALI  CHIKODI TALUK,BELAGAVI DISTRICT,,,591213,A,R,CHIKODI,BELGAUM CHIKKODI
7798,QQ0306,QQ05,GOVERNMENT HIGH SCHOOL,VIJAYANAGARA COLONY KALABURAGI,KALABURAGI  DISTRICT,,,NA,G,U,GULBARGA NORTH,GULBARGA
7799,RR0135,RR05,SMT HAMPAMMA VENKATARAO BADARLI' S H S,"JANATHA COLONY,  SINDHANOOR",RAICHUR DISTRICT,,,584128,U,U,SINDHANUR,RAICHUR
7800,RR0142,RR04,SOFIYA URDU GIRLS HIGH SCHOOL,RAICHUR,RAICHUR,,,584101,U,U,RAICHUR,RAICHUR
7801,RR0147,RR05,HOLLY FAMILY HIGH SCHOOL  ( E.M.),"R G ROAD , SINDHANOOR",RAICHUR DISTRICT,,,58128,U,U,SINDHANUR,RAICHUR
7802,SS0006,SS05,GOVT JUNIOR COLLEGE,HUMNABAD,BIDAR DISTRICT,,,585330,G,U,HUMNABAD,BIDAR
7803,SS0076,SS03,PRIYADARSHI ASHOK HIGH SCHOOL,"KURUBAKHELAGI, BHALKI TALUK",BIDAR DISTRICT,,,585328,A,R,BHALKI,BIDAR
7804,SS0090,SS03,GOVERNMENT HIGH SCHOOL,"LADHA, BHALKI TALUK",BIDAR DISTRICT,,,NA,G,R,BHALKI,BIDAR
7805,SS0096,SS03,MAHATMA GANDHI HIGH SCHOOL,KALAWADI   BHALKI TALUK,BIDAR DISTRICT,,,NA,A,R,BHALKI,BIDAR
7806,SS0167,SS03,VASANTHA HIGH SCHOOL,DAWARAGAON  BHALKI TALUK,BIDAR DISTRICT,,,NA,A,R,BHALKI,BIDAR
