Block_Name,District,Year,Schools
MADIKERI,KODAGU,2008,161
MAGADI,RAMANAGARA,2008,440
MALAVALLY,MANDYA,2008,307
MALUR,KOLAR,2008,354
MANVI,RAICHUR,2008,338
MOLAKALMUR,CHITRADURGA,2008,167
MOODIGERE,CHIKKAMANGALORE,2008,218
MUDDEBIHAL,BIJAPUR,2008,293
MUDHOL,BAGALKOT,2008,286
MULBAGAL,KOLAR,2008,424
MUNDAGOD,UTTARA KANNADA SIRSI,2008,145
MUNDARAGI,GADAG,2008,114
MYSORE RURAL,MYSORE,2008,290
NAGAMANGALA,MANDYA,2008,396
NANJANAGUD,MYSORE,2008,316
NARAGUND,GADAG,2008,69
NARASIMHARAJAPURA,CHIKKAMANGALORE,2008,114
NAVALGUND,DHARWAD,2008,128
NELAMANGALA,BANGALORE RURAL,2008,331
NIPPANI,BELGAUM CHIKKODI,2008,235
PANDAVAPURA,MANDYA,2008,218
PAVAGADA,TUMKUR MADHUGIRI,2008,274
PERIYA PATNA,MYSORE,2008,319
PUTTUR,DAKSHINA KANNADA,2008,228
RAIBAG,BELGAUM CHIKKODI,2008,389
RAICHUR,RAICHUR,2008,323
RAMANAGARA,RAMANAGARA,2008,358
RAMDURG,BELGAUM,2008,236
RON,GADAG,2008,199
SAGAR,SHIMOGA,2008,359
SAKALESHAPURA,HASSAN,2008,214
SANDUR,BELLARY,2008,196
SAVANUR,HAVERI,2008,125
SEDAM,GULBARGA,2008,254
SHAHAPUR,YADAGIRI,2008,307
SHIGGOAN,HAVERI,2008,187
SHIKARIPUR,SHIMOGA,2008,274
