"","Block_Name","Year","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Dist_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","Public","Split","Households","TotPop","Pop0.6","Literates","TotWPop","SCST","District","Yr2005","Yr2006","Yr2007","Yr2008","Yr2009","Yr2010","Yr2011","Yr2012","Yr2013","SchoolperPop2005","SchoolperPop2006","SchoolperPop2007","SchoolperPop2008","SchoolperPop2009","SchoolperPop2010","SchoolperPop2011","SchoolperPop2012","SchoolperPop2013","distance","weights"
"92","MANVI",2005,75.48597977,46.51953457,62.4406802,47.07701962,52.39529399,64.67126175,348.5897699,"RAICHUR",0.901694915,85.38644068,0.911864407,2614.067797,1871.932203,4161.233898,3373.674576,3.738983051,1,0.427118644,0.593220339,0.576271186,2.545762712,1.644067797,14.54576271,3.701694915,0,0,0.823728814,0,59964,330719,57460,115665,160076,140195,"RAICHUR",295,300,312,338,360,373,437,378,392,0.891995924,0.907114499,0.943399079,1.022015669,1.088537399,1.127845694,1.321363454,1.142964269,1.185296279,0.293951989704604,1
"93","MOLAKALMUR",2005,64.2460732,39.98158539,52.14774542,43.19111777,46.17699883,51.56548825,297.3090089,"CHITRADURGA",0.869281046,90.78431373,0.307189542,2619.411765,1576.026144,3938.751634,2447.51634,3.895424837,1,0.60130719,0.862745098,0.411764706,2.568627451,1.281045752,46.22222222,3.784313725,0,0,0.882352941,0,22581,126742,20555,55871,56902,69799,"CHITRADURGA",153,154,160,167,169,170,195,175,176,1.207176784,1.215066829,1.262407095,1.317637405,1.333417494,1.341307538,1.538558647,1.38075776,1.388647804,0.165777625740476,1
"97","MULBAGAL",2005,63.35974862,41.39606014,52.35769102,36.8777037,45.31387679,53.54305193,292.8481322,"KOLAR",0.928217822,122.5445545,0.467821782,2686.586634,1647.69802,3431.413366,1529.136139,2.836633663,1,0.314356436,0.804455446,0.373762376,1.727722772,1.445544554,7.975247525,2.967821782,4.175742574,0.574257426,0.945544554,1,44055,231302,33170,116654,114506,71068,"KOLAR",404,428,433,424,422,429,481,440,438,1.74663427,1.850394722,1.872011483,1.833101313,1.824454609,1.854718074,2.079532386,1.902274948,1.893628244,0.723533394167732,1
"100","NAGAMANGALA",2005,68.24024796,40.33795136,57.53107593,43.43375078,46.66049262,57.28124303,313.4847617,"MANDYA",0.982188295,94.81679389,0.183206107,2506.361323,952.2111959,4718.575064,1536.323155,2.770992366,1,0.460559796,0.834605598,0.407124682,1.470737913,1.007633588,94.44529262,2.435114504,0,0,0.96437659,0,40608,190770,22573,104324,97175,23990,"MANDYA",393,396,396,396,392,385,433,389,360,2.060072338,2.075798081,2.075798081,2.075798081,2.054830424,2.018137024,2.269748912,2.039104681,1.887089165,0.370042300826497,1
"101","NANJANAGUD",2005,73.78542863,38.35686696,51.41770991,37.55837443,44.36519933,52.77028357,298.2538628,"MYSORE",0.946488294,101.3712375,0.180602007,3115.033445,1115.742475,6565.150502,2371.414716,4.324414716,1,0.775919732,0.943143813,0.347826087,2,2.568561873,0.816053512,4.307692308,0,0,0.939799331,0,74102,360223,45307,156128,156238,128488,"MYSORE",299,308,311,316,317,322,384,320,315,0.830041391,0.855025915,0.863354089,0.87723438,0.880010438,0.893890729,1.066006335,0.888338612,0.874458322,0.206566501265642,1
"105","NELAMANGALA",2005,78.05319948,40.08076186,56.23256094,40.12532155,46.27051717,55.80709446,316.5694555,"BANGALORE RURAL",0.92238806,95.02686567,0.441791045,2708.050746,509.9970149,4706.050746,533.1552239,3.176119403,1,0.531343284,0.826865672,0.328358209,1.540298507,1.853731343,6.426865672,3.080597015,0,0,0.91641791,1,36957,174880,20662,111500,78078,46130,"BANGALORE RURAL",335,337,338,331,332,329,365,334,331,1.915599268,1.927035682,1.932753888,1.892726441,1.898444648,1.881290027,2.087145471,1.909881061,1.892726441,0.346533062689459,1
"114","SANDUR",2005,67.82421149,42.65006682,58.94689554,45.93320688,48.83766269,59.47194232,323.6639857,"BELLARY",0.878453039,101.2928177,0.834254144,3573.779006,2098.104972,4917.40884,3051.486188,5.248618785,1,0.458563536,0.784530387,0.38121547,2.64640884,1.883977901,12.17679558,3.972375691,0,0,0.845303867,0,35218,191166,32618,84578,85913,83842,"BELLARY",181,184,188,196,193,204,234,207,203,0.946821087,0.962514255,0.983438478,1.025286923,1.009593756,1.067135369,1.224067041,1.082828536,1.061904314,0.102161245952056,1
"116","SHAHAPUR",2005,67.44449194,35.62168502,53.1418667,33.51776321,40.81039985,51.86411959,282.4003263,"YADAGIRI",0.876404494,109.3071161,1.026217228,2288.202247,1210.895131,5230.632959,2601.149813,3.880149813,1,0.325842697,0.528089888,0.464419476,2.127340824,1.078651685,26.80149813,3.003745318,0,0,0.898876404,1,48435,293518,55861,92127,130813,90674,"YADAGIRI",267,271,305,307,331,343,406,374,378,0.909654604,0.923282388,1.039118555,1.045932447,1.127699153,1.168582506,1.383220109,1.274197835,1.287825619,0.624562888338241,1
"121","SHORAPUR",2005,66.1730591,35.88677636,55.04773881,33.56727289,40.51614186,50.87275617,282.0637452,"YADAGIRI",0.875,42.55681818,0.303977273,1388.778409,435.2556818,2421.789773,1103.863636,1.630681818,1,0.394886364,0.630681818,0.653409091,2.775568182,1.125,60.67897727,3.636363636,0,0,0.914772727,1,56057,336755,61467,119600,146228,121487,"YADAGIRI",352,370,380,385,398,421,489,434,445,1.0452703,1.098721623,1.128416802,1.143264391,1.181868124,1.250167035,1.452094252,1.288770768,1.321435465,0.741647338678357,1
"122","SIDLAGHATTA",2005,69.51153048,41.69024927,58.67717003,42.34338577,50.49127315,59.67085097,322.3844597,"CHIKKABALLAPURA",0.980066445,119.3089701,0.196013289,5674.627907,2342.142857,1908.631229,1298.093023,3.61461794,1,0.448504983,0.687707641,0.607973422,2.053156146,1.740863787,0.774086379,3.388704319,7.019933555,0.817275748,0.890365449,1,36955,193965,26626,101871,106960,58459,"CHIKKABALLAPURA",301,284,284,304,302,310,342,312,310,1.55182636,1.464181682,1.464181682,1.567293068,1.55698193,1.598226484,1.763204702,1.608537623,1.598226484,0.247374273033043,1
