,Block_Name,Year,Marks1,Marks2,Marks3,Marks4,Marks5,Marks6,Total,Dist_Name,Rural_Urban,No_of_Working_Days,No_of_Acad_Inspection,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Tot_Clrooms,Toilet_Girls,Electricity,Library,PlayGround,Male_Tch,Female_Tch,Graduate_Teachers,Tch_with_Prof_Qual,Days_involved_in_non_tch_assgn,Teachers_involved_in_non_tch_assgn,Public,Split
1044,RAMDURG,2013,74.34090909,NA,63.59090909,53.22727273,57.79545455,68.13636364,375.6818182,BELGAUM,0.879844961,0,0.755813953,7140.271318,6854.217054,1747.313953,1677.391473,5.709302326,1,1,1,0.748062016,2.968992248,1.868217054,0.096899225,4.833333333,0,0,0.80620155,0
1045,RON,2005,70.35659629,48.64854523,65.62843169,46.61781257,55.46259337,68.31821324,355.0321924,GADAG,0.805405405,113.8216216,0.567567568,3669.897297,2419.67027,6743.810811,3276.421622,6.432432432,1,0.87027027,0.908108108,0.713513514,4.032432432,2.27027027,1.918918919,6.113513514,0,0,0.881081081,0
1046,RON,2006,78.71080425,46.96637878,54.81550786,59.02141449,61.85673584,76.08999165,377.4851133,GADAG,0.8,224.3846154,1.061538462,5159.661538,3918.820513,2037.282051,1657.425641,6.256410256,1,0.825641026,0.892307692,0.671794872,3.917948718,2.230769231,1.938461538,6.148717949,0,0,0.866666667,0
1047,RON,2007,77.75668227,46.21593709,54.87517549,50.72627952,63.42310219,71.7946371,364.7918137,GADAG,0.786069652,212.4079602,0.940298507,3393.621891,2620.452736,3259.21393,2459.273632,6,1,0.830845771,0.850746269,0.676616915,4.039800995,2.263681592,2,6.303482587,0,0,0.850746269,0
1048,RON,2008,70.4220027,39.69589854,52.59935661,54.0343603,61.9491558,66.77420452,345.4749785,GADAG,0.743718593,220.4824121,0.668341709,40568.09045,28326.8995,2450.452261,2395.678392,6.407035176,1,0.879396985,0.718592965,0.688442211,3.894472362,2.417085427,1.83919598,6.311557789,9.512562814,0.954773869,0.83919598,0
1049,RON,2009,55.49122807,34.29824561,32.85964912,23.34035088,32.75438596,40.84210526,219.4385965,GADAG,0.719211823,228.9458128,1.044334975,12598.52217,11047.16256,4754.37931,5150.507389,6.39408867,0.591133005,0.926108374,0.871921182,0.704433498,3.9408867,2.374384236,1.866995074,6.305418719,0.039408867,0.009852217,0.84729064,0
1050,RON,2010,61.9122807,38.63157895,45.14035088,44.87719298,47.26315789,48.70175439,286.6666667,GADAG,0.714975845,0,1.125603865,8436.077295,8155.661836,2482.333333,2432.434783,6.816425121,0.632850242,0.975845411,0.946859903,0.748792271,3.975845411,2.410628019,0.004830918,0.028985507,3.884057971,0.748792271,0.84057971,0
1051,RON,2011,68.06779661,47.33898305,47.52542373,51.22033898,43.79661017,61.94915254,320.0508475,GADAG,0.697080292,0,1.087591241,15983.70438,12649.76642,2216.667883,2096.229927,6.313868613,1,0.945255474,0.930656934,0.781021898,4.135036496,2.277372263,1.642335766,6.412408759,13.55839416,29080406379,0.817518248,0
1052,RON,2012,69.74285714,46,46.42857143,52.27142857,47.8,58.41428571,320.6,GADAG,0.701421801,4.734597156,1.27014218,8844.563981,8516.056872,2663.92891,2557.293839,7.180094787,1,0.990521327,0.947867299,0.763033175,3.691943128,2.478672986,0.123222749,6.165876777,0.014218009,0.004739336,0.82464455,0
1053,RON,2013,68.04285714,NA,54.92857143,47.62857143,51.17142857,62.67142857,335.8,GADAG,0.708133971,4.779904306,1.928229665,10637.13397,9514.023923,3638.220096,3439.229665,7.19138756,1,1,0.961722488,0.746411483,3.995215311,2.387559809,0.813397129,6.363636364,0.325358852,0.043062201,0.837320574,0
1054,SAGAR,2005,83.59188719,41.95948754,60.90619822,38.43686776,44.32997507,53.28968083,322.5140966,SHIMOGA,0.931952663,92.96449704,0.198224852,2596.997041,1520.943787,4541.43787,1509.588757,3.224852071,1,0.846153846,0.801775148,0.51183432,1.50295858,1.724852071,18.52662722,3.065088757,0,0,0.926035503,0
1055,SAGAR,2006,81.81022807,43.5153765,55.66034154,42.28376889,47.63309086,58.3540598,329.387368,SHIMOGA,0.925595238,219.6964286,0.136904762,2588.794643,2129.580357,1376.339286,1291.758929,3.363095238,1,0.863095238,0.81547619,0.520833333,1.50297619,1.68452381,0.675595238,3.1875,0,0,0.919642857,0
1056,SAGAR,2007,84.24223667,42.58804,59.26508937,37.43001319,51.57022038,52.65952732,327.7551269,SHIMOGA,0.933908046,214.7155172,0.267241379,2482.758621,2281.715517,1400.074713,1304.204023,3.436781609,1,0.893678161,0.804597701,0.517241379,1.471264368,1.770114943,0.747126437,3.24137931,0.183908046,0.025862069,0.922413793,0
1057,SAGAR,2008,87.87842804,42.7067039,57.19540928,40.111903,48.01040709,55.96071623,331.8635675,SHIMOGA,0.891364903,217.1949861,0.008356546,2504.178273,2504.178273,1335.635097,1386.618384,3.56545961,1,0.908077994,0.621169916,0.490250696,1.323119777,1.6545961,0.835654596,2.972144847,3.774373259,0.348189415,0.908077994,0
